#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-7046.534012,1,0.984014
-10551.395619,1,0.984522
-7283.244205,1,0.985024
-5062.326432,1,0.985535
-10920.697884,1,0.986042
-7563.536245,1,0.986554
-9952.600211,1,0.987043
-6971.758317,1,0.987557
-7195.151984,1,0.98806
-6559.850517,1,0.988568
-7482.296043,1,0.989057
-9824.512218,1,0.989562
-7136.068866,1,0.990064
-7478.74613,1,0.990568
-9061.421696,1,0.991062
-7144.530781,1,0.991568
-6929.474243,1,0.992069
-7931.844208,1,0.992577
-6307.180184,1,0.993071
-5599.251721,1,0.993579
-8156.931725,1,0.994077
-10121.936884,1,0.994595
-6618.065005,1,0.995093
-7673.7353,1,0.995613
-5378.594155,1,0.996114
-6226.14422,1,0.996633
-5647.129528,1,0.997129
-7041.454683,1,0.997646
-5512.508329,1,0.998147
-5153.787782,1,0.998661
-6346.482529,1,0.999151
-6202.974592,1,0.999658
-4430.310315,1,1.00017
-11013.482155,1,1.000756
-7223.590094,1,1.001261
-7931.050535,1,1.001764
-8131.145231,1,1.002279
-6975.09503,1,1.002787
-8336.980067,1,1.003289
-6571.906778,1,1.003789
-7302.583276,1,1.004303
-7915.995024,1,1.004804
-5842.551249,1,1.005303
-7396.726006,1,1.0058
-5746.60528,1,1.006315
-6119.538426,1,1.006814
-8138.379193,1,1.007317
-4921.461191,1,1.00782
-8815.811518,1,1.008334
-6806.082013,1,1.008835
-7597.400298,1,1.009354
-9315.442778,1,1.009862
-7284.501,1,1.010375
-6498.504761,1,1.01087
-6521.159214,1,1.011377
-6563.853408,1,1.011875
-6961.678063,1,1.012371
-7418.871322,1,1.012864
-8210.178922,1,1.013373
-4944.89236,1,1.013885
-8404.795334,1,1.014355
-4902.841211,1,1.014812
-6910.047503,1,1.01528
-6445.880384,1,1.015767
-8281.174664,1,1.016271
-7692.930401,1,1.016778
-9245.71454,1,1.017297
-8274.829113,1,1.017807
-6308.756935,1,1.018327
-10320.581608,1,1.018832
-5666.193204,1,1.019342
-7219.658184,1,1.019827
-7776.58625,1,1.02034
-7337.122239,1,1.020845
-8886.619513,1,1.021359
-8375.36562,1,1.021861
-7790.319674,1,1.022374
-6971.496684,1,1.022869
-7218.207349,1,1.023383
-7158.902419,1,1.023886
-7168.487672,1,1.024401
-8823.40219,1,1.024891
-7182.749871,1,1.025408
-8559.666142,1,1.025909
-6523.418209,1,1.026422
-9313.038441,1,1.026922
-9443.457082,1,1.027427
-6727.784466,1,1.027921
-7676.812253,1,1.028437
-7704.962915,1,1.028939
-7529.766913,1,1.029446
-8728.460998,1,1.029944
-7430.977747,1,1.030458
-6422.364871,1,1.030954
-7191.466453,1,1.031466
-7905.254541,1,1.031967
-5459.845832,1,1.032478
-5362.446827,1,1.032981
-7853.527231,1,1.033489
-12496.614899,1,1.033989
-8813.485464,1,1.034472
-6260.734571,1,1.034925
-5520.267567,1,1.035389
-5827.707576,1,1.035844
-7224.439864,1,1.036315
-6434.407354,1,1.036774
-6173.665829,1,1.037239
-7644.777756,1,1.037694
-6098.312892,1,1.038146
-6807.440719,1,1.038618
-8134.362833,1,1.039072
-6380.62941,1,1.039539
-7965.065686,1,1.039993
-10010.208122,1,1.040509
-5620.739895,1,1.040965
-6020.222688,1,1.04143
-6801.967023,1,1.041882
-5078.245176,1,1.042346
-5829.562682,1,1.042843
-8974.048973,1,1.043432
-9931.295121,1,1.044022
-7053.70627,1,1.044493
-7673.038836,1,1.044947
-4905.676846,1,1.045417
-8088.563154,1,1.045872
-6416.842247,1,1.04634
-7308.934896,1,1.046856
-6823.350509,1,1.047369
-5899.841612,1,1.047872
-6361.378455,1,1.048386
-9588.097259,1,1.048877
-6884.88384,1,1.049385
-7417.008176,1,1.049916
-6192.297749,1,1.050441
-6138.305819,1,1.050951
-6865.908261,1,1.051466
-6770.175373,1,1.051974
-7557.893764,1,1.052482
-7671.863179,1,1.052987
-6132.948187,1,1.053506
-8690.434432,1,1.054006
-6295.243839,1,1.054522
-5874.463791,1,1.055018
-5534.099701,1,1.055523
-7521.345544,1,1.056023
-10690.875611,1,1.056537
-7249.662403,1,1.057041
-7727.64805,1,1.057558
-10366.052248,1,1.05805
